row,pair,rep,variant,kind,position,slot,phase,p95_ms,p50_ms,sum_ms
P2-lifecycle,0,0,V,control,0,1,construction,0.6360419999999749,0.45041649999996025,23.277211999999622
P2-lifecycle,0,0,V,control,0,1,initial,7.127499999999941,5.922708499999999,300.8427899999998
P2-lifecycle,0,0,V,control,0,1,duplicate,4.444165999999996,3.3127920000000017,174.21354300000002
P2-lifecycle,0,0,V,control,0,1,cleanup,0.18108299999994415,0.1268125000000282,6.497288999999853
P2-lifecycle,0,0,V,control,0,1,actionSum,11.286290999999892,10.006479999999954,504.8308339999993
P2-lifecycle,0,0,V,control,0,1,wall,11.375083000000018,10.080854499999987,508.73475099999973
P2-lifecycle,0,0,V,control,0,1,residual,0.09454100000004928,0.07900000000003615,3.9039170000004333
P2-lifecycle,0,0,V,control,1,0,construction,1.0650829999999587,0.4848745000000463,27.28933100000131
P2-lifecycle,0,0,V,control,1,0,initial,8.101208000000042,6.02822900000001,323.03487800000016
P2-lifecycle,0,0,V,control,1,0,duplicate,4.836874999999964,3.489646000000107,188.073621
P2-lifecycle,0,0,V,control,1,0,cleanup,0.1672910000002048,0.1455625000000964,7.277245999999877
P2-lifecycle,0,0,V,control,1,0,actionSum,12.420582999999851,10.979041500000108,545.6750760000014
P2-lifecycle,0,0,V,control,1,0,wall,12.647416999999905,11.053062000000068,550.5852470000007
P2-lifecycle,0,0,V,control,1,0,residual,0.11066700000014862,0.07008299999984047,4.910170999999309
P2-lifecycle,0,0,U,control,0,0,construction,0.5526670000000422,0.44247899999999163,22.879210000000114
P2-lifecycle,0,0,U,control,0,0,initial,6.811042000000043,5.83947900000004,297.3547110000003
P2-lifecycle,0,0,U,control,0,0,duplicate,3.974124999999958,3.351103999999964,170.95716399999935
P2-lifecycle,0,0,U,control,0,0,cleanup,0.17333399999995436,0.12558350000006158,6.588088999999911
P2-lifecycle,0,0,U,control,0,0,actionSum,10.728709000000094,9.944188499999996,497.77917399999967
P2-lifecycle,0,0,U,control,0,0,wall,10.795957999999928,10.007646000000022,501.60592000000014
P2-lifecycle,0,0,U,control,0,0,residual,0.09941600000001927,0.0666039999999839,3.826746000000469
P2-lifecycle,0,0,U,control,1,1,construction,0.6101249999999254,0.46070799999995415,23.960329999999885
P2-lifecycle,0,0,U,control,1,1,initial,7.80904200000009,5.723604000000023,298.901872999998
P2-lifecycle,0,0,U,control,1,1,duplicate,4.121417000000065,3.3673334999999724,173.0009609999995
P2-lifecycle,0,0,U,control,1,1,cleanup,0.18566699999996672,0.13102149999997437,6.674794000001157
P2-lifecycle,0,0,U,control,1,1,actionSum,13.146332000000257,9.7336039999999,502.5379579999985
P2-lifecycle,0,0,U,control,1,1,wall,13.222541000000092,9.810854500000005,505.78791600000113
