passIndex,orientation,phase,Bposition,Sposition,Dposition,Bp50,Sp50,Dp50,Bp95,Sp95,Dp95,Sp50overB,Dp50overS,Sp95overB,Dp95overS,BconstructionMs,SconstructionMs,DconstructionMs
0,U,b0s0-warmup,0,4,2,0.31158349999999757,0.3224790000000155,0.3500629999999916,0.6572500000000048,0.6691670000000158,0.687624999999997,1.0349681546038798,1.0855373528197951,1.018131608976814,1.0275835479035589,35.97412400000019,36.59912300000016,39.85091599999993
0,U,b0s0-measured,0,4,2,0.2852505000000036,0.28914599999998813,0.3057705000000084,0.4030830000000094,0.3862079999999821,0.4247079999999528,1.013656417780107,1.0574951754477702,0.9581351731528571,1.0996872151793138,90.44621400000011,91.16842099999968,96.07132500000012
0,U,b0s1-warmup,0,4,2,0.3119794999999783,0.33666650000000686,0.32189550000001077,0.6469170000000304,0.7168330000000083,0.6726659999999924,1.0791301992599842,0.9561257208543298,1.1080756882258074,0.938385928103177,36.11570599999976,38.00203600000003,36.46191200000021
0,U,b0s1-measured,0,4,2,0.32147950000000947,0.2829164999999705,0.29379150000002596,0.4548340000000053,0.41083400000002257,0.41154199999994034,0.8800452283892508,1.0384389033515422,0.9032614096571887,1.0017233237753393,100.12088300000005,90.31308200000024,92.83599800000081
0,U,b1s0-warmup,0,4,2,0.29000000000002046,0.2684584999999515,0.28027050000002873,0.3872910000000047,0.37175000000002,0.3554579999999987,0.9257189655170089,1.043999351855424,0.9598725506144359,0.9561748486885799,30.20300499999962,28.33957800000087,28.98409100000015
0,U,b1s0-measured,0,4,2,0.30343750000002956,0.2696455000000242,0.2648749999999609,0.4103330000000369,0.37508299999990413,0.3702500000000555,0.8886360453141023,0.9823082528725201,0.9140941625457139,0.9871148519131768,94.01308100000006,85.65729900000065,83.49455500000022
0,U,b1s1-warmup,0,4,2,0.3318540000000212,0.28460400000000163,0.2834789999999998,0.4484590000000708,0.38058300000000145,0.39579200000002857,0.85761810916844,0.9960471391828583,0.84864614156465,1.039962373516492,34.399543000000335,30.021915000000604,29.919123999999442
0,U,b1s1-measured,0,4,2,0.28195849999997336,0.2640834999999697,0.275562500000035,0.35970799999995506,0.3467910000000529,0.40037499999994,0.9366041456455282,1.0434673124222702,0.9640903177024037,1.1545138137952797,87.91108400000041,82.22982199999967,88.42457200000058
0,U,b2s0-warmup,0,4,2,0.2719374999999218,0.28920850000008613,0.2882710000000088,0.41895899999985886,0.43049999999993815,0.41641699999991033,1.0635109170311903,0.9967583940303378,1.0275468482598134,0.9672868757258308,29.3046310000002,30.49978999999962,30.63128899999765
0,U,b2s0-measured,0,4,2,0.297166500000003,0.26395800000000236,0.2648744999999053,0.3815829999998641,0.34562499999992724,0.3407919999999649,0.8882495166850897,1.0034721432951565,0.9057662422069388,0.986016636528135,92.34349299999963,82.54358100000104,83.42536599999926
0,U,b2s1-warmup,0,4,2,0.33256249999999454,0.2803329999999278,0.2677919999999858,0.43545799999992596,0.3612920000000486,0.3602499999999509,0.8429483179851378,0.9552639182688261,0.829682770784117,0.9971159062473082,34.372118999999884,29.195999000000256,28.508458000000928
0,U,b2s1-measured,0,4,2,0.27254149999998845,0.2556455000000142,0.25389549999988503,0.3289159999999356,0.2982079999999314,0.31579099999999016,0.9380057715981787,0.9931545832016248,0.9066387770737507,1.0589622008801334,84.39216199999942,78.38752999999929,78.43338100000324
0,V,b0s0-warmup,3,1,5,0.3313954999999993,0.3583955000000003,0.337333000000001,0.6754170000000101,0.7735409999999945,0.653082999999981,1.0814736470471116,0.941231125948849,1.1452791386654213,0.844277161779383,37.77529599999974,40.21688299999991,37.52899700000006
0,V,b0s0-measured,3,1,5,0.2999580000000037,0.3111455000000092,0.2914169999999672,0.38870900000000574,0.3978749999999991,0.40295900000000984,1.0372968882310367,0.9365939729160749,1.0235806220077055,1.0127778825008125,93.74919699999941,95.9931669999998,93.14754599999986
0,V,b0s1-warmup,3,1,5,0.32450000000000045,0.34852099999997677,0.3193334999999706,0.6627919999999676,0.7686670000000504,0.6557500000000118,1.0740246533127158,0.9162532530320753,1.159740914193424,0.8531002371637768,36.47200199999969,39.350957000000335,35.97495999999995
0,V,b0s1-measured,3,1,5,0.2917710000000113,0.31152050000002873,0.2922915000000046,0.41141700000002857,0.436916999999994,0.4274589999999989,1.0676883583358752,0.9382737251640827,1.0619809098796686,0.9783528679360263,92.51954399999994,98.34411499999959,93.76375299999933
0,V,b1s0-warmup,3,1,5,0.2694789999999898,0.2950415000000248,0.27037500000000136,0.3570829999999887,0.40058299999998326,0.38266699999996945,1.0948589686025108,0.9163965069320031,1.1218204171018948,0.9552751864157626,28.464040999999497,30.365584000000467,28.54283500000031
0,V,b1s0-measured,3,1,5,0.26399999999995316,0.2824789999999666,0.26437500000002956,0.3485000000000582,0.36266599999999016,0.3687089999999671,1.0699962121212756,0.9359102800564318,1.040648493543557,1.0166627144534561,82.25191699999971,87.75179100000037,83.9856529999995
0,V,b1s1-warmup,3,1,5,0.28410449999995535,0.30712500000004184,0.2741250000000264,0.3487079999999878,0.3907080000000178,0.36016700000004676,1.0810282836072294,0.8925518925518569,1.1204446126846286,0.9218316492112533,29.14796100000035,31.9379160000002,29.28633600000046
0,V,b1s1-measured,3,1,5,0.2660625000000323,0.2823965000000044,0.2677290000000312,0.3397499999999809,0.36445800000001327,0.36099999999999,1.0613915903217106,0.9480606168986763,1.0727240618102538,0.9905119382754031,82.97478500000011,87.76500199999816,85.3506290000006
0,V,b2s0-warmup,3,1,5,0.26262450000001536,0.3161044999999376,0.2786670000000413,0.33266699999990124,0.4160830000000715,0.386792000000014,1.2036367513309654,0.88156606438724,1.250749247746831,0.9296029878652758,26.95820400000025,32.54025400000023,29.115503999998737
0,V,b2s0-measured,3,1,5,0.27985400000000027,0.28120849999993425,0.26595800000006875,0.3844579999999951,0.3647920000000795,0.32379199999991215,1.0048400237264214,0.9457679977672472,0.9488474683842817,0.887607184367644,87.793747999998,87.64395899999795,82.42304999999942
0,V,b2s1-warmup,3,1,5,0.2781244999999899,0.2944160000000693,0.27149999999994634,0.38295799999991686,0.4045000000000982,0.37391600000000835,1.0585762850812495,0.9221645562737163,1.0562515993925863,0.9243906056858283,29.71754400000168,31.062793999998803,28.87142000000017
0,V,b2s1-measured,3,1,5,0.2571665000000394,0.2679790000000821,0.25577050000015333,0.3105000000000473,0.32658299999980045,0.313666000000012,1.0420447453305197,0.9544423257049058,1.0517971014484724,0.96044803311931,79.44941999999969,82.93700599999556,78.96145599999659
