passIndex,orientation,phase,Dposition,Rposition,Dp50,Rp50,Dp95,Rp95,p50Ratio,p95Ratio,DconstructionMs,RconstructionMs,DreleaseMs,RreleaseMs,DreleaseP95,RreleaseP95,releaseP95Ratio
0,U,b0s0-warmup,0,3,0.3259165000000195,0.3265624999999943,0.6955000000000098,0.6488329999999962,1.0019821027777813,0.9329015097052294,38.249251999999956,36.87304299999994,12.149078000000003,13.204335999999671,0.18912499999999,0.20199999999999818,1.068076668869842
0,U,b0s0-measured,0,3,0.2899580000000128,0.2898544999999615,0.42149999999998045,0.40883300000001555,0.9996430517521457,0.9699478054567842,92.68996999999962,92.91232599999961,29.84602800000016,30.075620999999757,0.12374999999997272,0.11987499999997908,0.9686868686869132
0,U,b0s1-warmup,0,3,0.33289550000000645,0.32856250000000387,0.6447909999999979,0.6684169999999767,0.986983903357052,1.036641330291488,36.66082600000033,36.86258899999984,12.139037000000087,12.485870999999634,0.1909170000000131,0.21558299999998098,1.1291975046746292
0,U,b0s1-measured,0,3,0.2954790000000287,0.28258299999998826,0.415958000000046,0.424541999999974,0.9563556124122554,1.0206366988973095,93.63816299999911,90.98404299999976,29.704371999999807,29.410038999999983,0.11887500000000273,0.12133300000004965,1.0206771819141691
0,U,b1s0-warmup,0,3,0.28085350000003473,0.2669379999999819,0.36037499999997635,0.3454999999999018,0.9504528161477386,0.9587235518554962,28.953869000000168,27.65582700000016,9.432667999999353,9.323915999999713,0.10325000000000273,0.10279199999990851,0.995564164647998
0,U,b1s0-measured,0,3,0.26204150000000936,0.26449999999994134,0.3460420000000113,0.3533750000000282,1.0093821016897395,1.021191069292215,81.44720899999845,82.2906720000002,28.378584999999248,28.573993999999857,0.1053749999999809,0.10562499999991815,1.0023724792402116
0,U,b1s1-warmup,0,3,0.2769584999999779,0.28120850000004793,0.4172919999999749,0.3721249999999827,1.0153452593080565,0.8917616441245102,29.9389570000003,29.791332999999895,9.27508199999943,9.26208000000031,0.1047080000000733,0.10424999999997908,0.995625931160046
0,U,b1s1-measured,0,3,0.2744375000000332,0.26297900000002983,0.3688329999999951,0.35550000000000637,0.9582473240719581,0.9638508484870147,87.52133000000072,83.91112599999997,28.637298000000555,28.572597999998834,0.11858300000005784,0.11633400000005167,0.9810343809820542
0,U,b2s0-warmup,0,3,0.2734170000001086,0.2689579999998841,0.34845800000016425,0.3391669999998612,0.9836915773334405,0.9733368153398727,28.262291000000914,27.536704999999984,9.718040999997811,9.876083999998855,0.11554100000012113,0.11916700000006131,1.0313827991789615
0,U,b2s0-measured,0,3,0.26683349999996153,0.252207999999996,0.34275000000002365,0.3177499999999327,0.9451886663407418,0.9270605397517455,82.8087510000014,78.33062499999983,28.26070999999888,27.89112200000295,0.11333400000012261,0.10895800000002964,0.9613884624200307
0,U,b2s1-warmup,0,3,0.27597900000000664,0.2745420000001104,0.36941700000011224,0.37220800000000054,0.9947930820827086,1.0075551477054046,29.253451000001178,28.99275500000067,9.407967000001463,9.090705999999955,0.1172079999998914,0.10479200000008859,0.8940686642565839
0,U,b2s1-measured,0,3,0.25012500000002547,0.25329149999993206,0.3048750000000382,0.3478749999999309,1.0126596701645427,1.1410414104137345,77.29324499999711,79.60130300000105,26.580246999998735,27.412995000000592,0.0967920000000504,0.10675000000014734,1.102880403340067
0,V,b0s0-warmup,2,1,0.3501044999999863,0.34587450000000786,0.7005000000000052,0.7820000000000107,0.9879178930862683,1.1163454675232047,38.843001000000015,39.13812499999992,12.3064159999999,13.84412100000003,0.19816600000001472,0.24229099999999448,1.22266685506079
0,V,b0s0-measured,2,1,0.3101249999999993,0.2966869999999915,0.4646250000000123,0.41945900000001757,0.956669085046327,0.9027904223836567,99.3508269999999,97.6144869999996,32.270832000000354,32.25649899999951,0.15241600000001654,0.14770799999996598,0.9691108545031358
0,V,b0s1-warmup,2,1,0.34472900000000095,0.33308349999998654,0.7768329999999537,0.7040420000000154,0.9662183918381848,0.9062977499669264,39.39941199999987,38.020872000000224,12.418619000000149,12.62199800000019,0.22987500000004957,0.20987500000001091,0.9129961935833198
0,V,b0s1-measured,2,1,0.303583500000002,0.2959579999999846,0.42449999999996635,0.4365420000000313,0.9748817047039205,1.028367491166233,95.64612299999987,93.81963500000063,29.08145400000052,30.66903599999921,0.11687500000005002,0.13387499999998909,1.1454545454539617
0,V,b1s0-warmup,2,1,0.2930834999999661,0.2744790000000421,0.35858300000006693,0.38345799999990504,0.9365215032578561,1.069370271317473,30.013998999999785,28.75599499999953,9.301953000000026,9.510249999999928,0.10662500000000819,0.10608300000001236,0.9949167643611181
0,V,b1s0-measured,2,1,0.26197899999999663,0.26543750000001864,0.36354099999994105,0.36304200000006404,1.0132014398101452,0.9986273900333742,82.1353049999999,83.67799700000114,27.64820499999928,28.757497999999487,0.10333300000002055,0.10804200000006858,1.0455711147459872
0,V,b1s1-warmup,2,1,0.29216699999994944,0.28056250000003047,0.4060829999999669,0.37712500000009186,0.9602812774888301,0.9286894551116954,31.215042000000153,29.81650000000002,9.540044999999623,9.429829000000609,0.11912499999993997,0.10341700000003584,0.8681385099692588
0,V,b1s1-measured,2,1,0.26725000000004684,0.27158350000001974,0.35904200000004494,0.3736670000000686,1.0162151543497555,1.040733396092997,84.86330200000043,87.06344700000079,28.269502000001694,29.29645400000095,0.11129200000004857,0.12095799999997325,1.0868526039600372
0,V,b2s0-warmup,2,1,0.2967919999999822,0.2741875000000391,0.36512500000003456,0.3665000000000873,0.9238372328096969,1.0037658336187678,29.314712000000327,28.33670099999904,10.1038759999999,9.927168999999594,0.11691599999994651,0.11862500000006548,1.014617332102704
0,V,b2s0-measured,2,1,0.26900050000006104,0.2550625000000082,0.3474999999998545,0.3136250000000018,0.9481859699143693,0.902517985611894,83.20874200000094,78.74525199999857,27.466998999997713,28.089554999996835,0.10550000000012005,0.1087089999998625,1.0304170616088986
0,V,b2s1-warmup,2,1,0.26158299999997325,0.2714379999999892,0.36383299999988594,0.3790839999999207,1.0376744666129563,1.0419175830670653,28.092498000001115,28.7652569999982,9.001613000000361,9.19158400000083,0.10274999999978718,0.10470799999984592,1.019055961071171
0,V,b2s1-measured,2,1,0.2571460000000343,0.2667504999999437,0.301290999999992,0.3524169999998321,1.0373503768283705,1.1696897683629497,78.91841399999839,83.4545410000012,26.563491999999314,28.273993000001838,0.09741699999995035,0.11354100000016842,1.1655152591460043
